GPX3,,,,
Sample,Run1,Run2,,Ct AVE
TN,22.11528206,23.44507027,,22.78017616
TN,23.40665817,23.79928017,,23.60296917
TN,22.93312836,23.36847115,,23.15079975
TN,24.17744446,24.96544647,,24.57144547
TN,22.41455078,22.68608665,,22.55031872
TN,21.98883247,23.17445755,,22.58164501
HS,21.85023499,22.51154709,,22.18089104
HS,21.16408157,22.14413834,,21.65410995
HS,23.4964447,24.3022213,,23.899333
HS,21.74901009,22.63922882,,22.19411945
HS,23.12636948,24.37725639,,23.75181293
HS,21.65573692,22.73358536,,22.19466114
HSAX,21.81414795,22.68910408,,22.25162601
HSAX,22.99983597,22.99608803,,22.997962
HSAX,21.78300285,22.63816452,,22.21058369
HSAX,22.44532013,23.60140038,,23.02336025
HSAX,26.67868042,26.05561066,,26.36714554
HSAX,23.50811958,24.40191269,,23.95501614
